3,08.10.25 - #68321 - RWAM Carole Yardi,,"€4,932.00","€1,068.00",,"€6,000.00",#68349,,"€4,345.374",,,,,,,
4,09.10.25 - SOT UBU - #67977 - Gossamer Bio,,€268.50,€231.50,,€500.00,#68356,,€236.564,,,,,,,
5,09.10.25 - Kersia #68049,,"€2,000.00",,,"€2,000.00",#68299,,"€1,762.115",,,,,,,
6,09.10.25 - Kersia #68310,,"€2,286.50","€2,526.40",€437.10,"€5,250.00",#68310,,"€2,014.537",,,,,,,
7,09.10.25 - Dine in Dublin (phsycal Vouchers),,€80.00,,,€80.00,#68357,,€70.485,,,,,,,
8,09.10.25 - RR,€430.50,,,,€430.50,,,€0.000,,,,,,,
9,09.10.25 - RR,,"€7,220.00","€3,434.00","€1,331.75","€11,985.75",,,"€6,361.233",,,,,,,
10,10.10.25 - Nicola Dent (revenue),,€588.50,,€73.56,€662.06,#68368,ICTeBPaymentsLogisticsGroup@revenue.ie,€518.502,,,,,,,
11,11.10.25 - SOT 5SB - #68322 - Law Libreary,,"€2,875.00",,,"€2,875.00",#68322,,"€2,533.040",,,,,,,
12,11.10.25 -  #67616 - Law Libreary,,€399.00,"€1,601.00",,"€2,000.00",#68361,,€351.542,,,,,,,
13,12.10.25 - Dine in Dubin - IE-122405489547,,€80.00,,,€80.00,#68363,,€70.485,,,,,,,
14,12.10.25 - Dine in Dublin - IE-092508620130,,€60.00,,,€60.00,#68364,,€52.863,,,,,,,
15,,,,,,€0.00,,,€0.000,,,,,,,
16,,,,,,€0.00,,,€0.000,,,,,,,
17,,,,,,€0.00,,,,,,,,,,
18,,,,,,€0.00,,,,,,,,,,
19,,,,,,€0.00,,,,,,,,,,
20,,,,,,€0.00,,,,,,,,,,
,,,,,,€0.00,,,10.82, 7.41 , 80.15 , 90.95 ,,,, -   
,,€430.50,"€23,789.50","€8,860.90","€1,842.41"," 34,923.31 ",,,374.19, 4.35 ," 1,626.91 "," 2,001.10 ",,,, -   
,,€350.00,"€20,959.91","€7,203.98",1623.27,,,,,,Service Charge,,,,, -   
,SOT'S REDEEMED (deposit redeemed),TOTAL,DATE,NOTES,,,,,,,Room Hire,,,,,
,06.10.25 - SOT HCU - #68289 - TaskUs,"€1,000.00",,,,,,,,,," 2,092.05 ",,,,
 ,08.10.25 - #66674 - RWAN Carole Yardi,"€2,000.00",,,,,,,,,,,,,,
,08.10.25 - #68321 - RWAN Carole Yardi,"€6,000.00",,,,,,,,,,,,,,
,08.10.25 - SOT MN5 - Aisling Quirke,"€2,299.95",,,,,,,,,,,,,,
,09.10.25 - SOT UBU - #67977 - Gossamer Bio,€500.00,,,,,,,,,,,,,,
,09.10.25 - Kersia #68049,"€2,000.00",,,,,,,,,,,,,,
,09.10.25 - Kersia #68310,"€5,250.00",,,,,,, 37.00 ,,,,,,,
,11.10.25 - SOT 5SB - #68322 - Law Libreary,"€2,875.00",,CAREN,,,,,,,,,,,,
,11.10.25 -  #67616 - Law Libreary,"€2,000.00",,CAREN,,,,,36,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,23924.95,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Sales Invoices ,Gross,Adjusted Debtors,Posting Gross,Nominal Codes,Net Amount,Column5,Column6,,,,,,,,
,Sales ,,Adjusted Debtors,,,EX VAT,,,,,,,,,,
,Bar," 30,575.20 ",8860.90," 21,714.30 ",," 17,653.90 "," 4,060.40 ",,,,,,,,,
,Food ," 148,386.11 ",23789.50," 124,596.61 ",," 109,776.75 "," 14,819.86 ",,,,,,,,,
,Wine ," 45,672.00 ",," 45,672.00 ",," 37,131.71 "," 8,540.29 ",,,,,,,,,
,12.5% SERVICE CHARGE ," 11,309.93 ",1842.41," 9,467.52 ",NC 2102," 8,341.43 "," 1,126.09 ", T3,,,,,,,,
,FIRE DRINK TAKE AWAY , 179.17 ,, 179.17 ,NC 4170, 145.67 , 33.50 ,T1,,,,,,,,
,ROOM HIRE / OTHER , 478.50 ,€430.50, 48.00 ,NC 4120, 39.02 , 8.98 ,T1,,,,,,,,
,Total," 236,600.91 "," 34,923.31 "," 201,677.60 ",," 173,088.48 "," 28,589.12 ",,,,,,,,,
,,,,,,, -   ,,,,,,,,,
,FIRE FOOD LUNCH ,,," 23,334.47 ",NC 4006," 20,559.00 "," 2,775.47 ",T3,,,,,,,,
,FIRE FOOD DINNER ,,," 101,262.15 ",NC 4008," 89,217.75 "," 12,044.40 ",T3,,,,,,,,
,,,,,,, -   ,,,,,,,,,
,FIRE DRINK LUNCH ,,," 10,776.03 ",NC 4007," 8,761.00 "," 2,015.03 ",T1,,,,,,,,
,FIRE DRINK DINNER ,,," 56,610.27 ",NC 4009," 46,024.61 "," 10,585.66 ", T1,,,,,,,,
,,,,, ,,,,,,,,,,,
,,T9,T9,,,,,,,,,,,,,
,Complementary ,FIRE FOOD COMPS ,FIRE DRINK COMPS ,N/C ,Date,,,,,,,,,,,
,06.10.25 - T180 - 1xCoke (waiter forgot to put through),,€4.00,5170,,Always need a reason for these,,,,,,,,,,
,06.10.25 - T38 - 4xDesserts (lamb undercooked and scallops not freash complaint),€50.00,,5170,,,,,,,,,,,,
,06.10.25 - T12 - 3xDesserts (chicken cold and undercooked complaint),€37.00,,5170,,,,FOOD,67.00, 7.41 , 496.30 , 563.31 ,,,,
,06.10.25 - T12 - 2xChicken (chicken cold and undercooked complaint),€98.00,,5170,,,,DRINKS,0.00, 4.35 , -   ,-0.02 ,,,,
,06.10.25 - T103 - 2xWater / 1xSide (Max staff),€7.00,€13.80,5170,,,,,,,Service Charge, -   ,,,,
,07.10.25 - T112 - 3xMains (guests complaint about numerous things - difficult table),€124.50,,5170,,,,,,,Room Hire, -   ,,,,
,07.10.25 - T109 - 2xGls Wine (steak undercooked complaint),,€25.00,5170,,,,,,,, 563.29 ,,,,
,08.10.25 - T38 - FullBill (Staff member frist meal),€166.00,€37.90,5170,,,,,,,,,,,,
,08.10.25 - T16 - 1xPorterhouse 1xGlsWine (overcooked steak complaint - difficult costumers),€125.00,€11.00,5170,,,,1.28, 7.41 , 9.48 , 10.76 ,,,,,
,09.10.25 - T180 - 2xCocktails (chipped decanter),€30.00,,5170,,,,1.50, 4.35 , 6.52 , 8.02 ,,,,,
,09.10.25 - T32 - 8xG&T (Emma Donaghy ref Imelda),,€108.00,5170,,,,,,Service Charge,,,,,,
,10.10.25 - T18 - 1xStarter TDH (guest found hair in the prawns),€10.00,,5170,,,,,,Room Hire, -   ,,,,,
,10.10.25 - T42 - 1x Main 2xStarters (steak undercooked twice - complaint),€94.50,,5170,,,,,,, 18.78 ,,,,,
,10.10.25 - T110 - BoneMarrow/Gls Wine (waiter forgot to put through),€7.50,€11.00,5170,,,,,,,,,,,,
,10.10.25 - T109 - 1xDessert (unhappy with steak),€16.50,,5170,,,,,,,,,,,,
,10.10.25 - T24 - Water/Coke/Wine (scallps were cold and unhappy with onions on steak),,€23.40,5170,,,,,,,,,,,,
,10.10.25 - T40 - Water/Side (Conall Lee - RR),€7.00,€13.80,5170,,,,,,,,,,,,
,11.10.25 - T6 - 2xGls Wine (found dirty napkin on the table),,€28.00,5170,,,,,,,,,,,,
,11.10.25 - T280 - 1xVodka (wrong cocktails twice),,€18.00,5170,,,,,,,,,,,,
,11.10.25 - T36 - 2xPints (guest ordered fillet and sirloin was put through),,€15.40,5170,,,,,,,,,,,,
,11.10.25 - 2xDesserts (guest ordered porterhouse and cote de bouf was put through),€25.00,,5170,,,,,,,,,,,,
,12.10.25 - T39 - Coffe/Coke (Maryhelen Bastos - SOLE Staff),€10.80,€8.00,5170,,,,,,,,,,,,
,12.10.25 - T6 - 1xSide 1xSoup (steak tasting slightly burned - complaint),€22.50,,5170,,,,,,,,,,,,
,,,,5170,,,,,,,,,,,,
,,,,5170,,,,,,,,,,,,
,,,,5170,,,,,,,,,,,,
,,,,5170,,,,,,,,,,,,
,Total,€831.30,€317.30,"€1,148.60",,,,,,,,,,,,
,,€732.42,€257.97,€990.39,,,,,,,,,,,,
,,T9,T9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,T3,T1,,,,,,,,,,,,
,,,FIRE FOOD DISCOUNT ,FIRE DRINK DISCOUNT ,,,,,,,,,,,,
,20% DISCOUNT,Total,Food 75%,Drink 25%,,,,,,,,,,,,
,06.10.25 Max O'Neill (Kitchen staff),€28.40,21.30,7.10,,,,,,,,,,,,
,10.10.25 - Conall Lee ( RR),€62.60,46.95,15.65,,,,,,,,,,,,
,12.10.25 - Maryhelen Bastos (SOLE Staff),€61.52,46.14,15.38,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,€152.52,100.78,31.00,,,,,,,,,,,,
,,€152.52, 114.39 ,38.13,,,,,,,,,,,,
,,,13.61,7.13,,,,,,,,,,,,
,,,T3,T1,,,,,,,,,,,,
,,,FIRE FOOD LOYALTY ,FIRE DRINK LOYALTY ,,,,,,,,,,,,
,LOYALTY,Total , Food 75%, drink 25% ,,,,,,,,,,,,
,12.10.25 - The Morgan Hotel (60891200003721869),€150.00,112.50,37.50,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,0.00,0.00,,,,,,,,,,,,
,,,99.12,30.49,129.61,,,,,,,,,,,
,, 150.00 , 112.50 ,37.50,,,,,,,,,,,,
,,VAT AMT, 13.38 ,7.01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
