Card Payment,Trans,Date,Time,Value,tips,,Date,Payment,tip included,Total,Net
Received,236547,10/10/2025,19:31:43,184.40,,,"10/10/25, 11:04 pm",Visa 4892,€37.68,€226.08,€188.40
Received,236523,10/10/2025,18:59:18,176.90,,,"10/10/25, 7:19 pm",Mastercard 2414,€27.66,€212.06,€184.40
Received,236612,10/10/2025,21:46:41,175.40,,,"10/10/25, 6:56 pm",Mastercard 7981,€0.00,€176.90,€176.90
Received,236560,10/10/2025,20:54:42,172.50,,,"10/10/25, 9:43 pm",Mastercard 1634,€21.05,€196.45,€175.40
Received,236537,10/10/2025,19:16:59,170.30,,,"10/10/25, 8:52 pm",Visa 7408,€17.50,€190.00,€172.50
Received,236634,10/10/2025,22:37:29,165.40,,,"10/10/25, 7:16 pm",Mastercard 9857,€25.55,€195.85,€170.30
Received,236674,10/10/2025,22:53:30,163.40,,,"10/10/25, 10:34 pm",Mastercard 1225,€0.00,€165.40,€165.40
Received,236552,10/10/2025,19:31:28,163.00,,,"10/10/25, 10:48 pm",Visa 4792,€0.00,€163.40,€163.40
Received,236682,10/10/2025,23:05:50,160.90,,,"10/10/25, 7:26 pm",Mastercard 0640,€32.60,€195.60,€163.00
Received,236598,10/10/2025,20:59:55,155.40,,,"10/10/25, 11:00 pm",Visa 4818,€0.00,€160.90,€160.90
Received,236640,10/10/2025,22:11:45,151.00,,,"10/10/25, 8:54 pm",Visa 8251,€18.65,€174.05,€155.40
Received,236640,10/10/2025,22:11:48,151.00,,,"10/10/25, 10:07 pm",Visa 0907,€0.00,€151.00,€151.00
Received,236557,10/10/2025,20:08:02,150.00,,,"10/10/25, 10:07 pm",Visa 5147,€0.00,€151.00,€151.00
Received,236673,10/10/2025,22:12:00,144.90,,,"10/10/25, 7:59 pm",Visa 3444,€0.00,€150.00,€150.00
Received,236519,10/10/2025,18:37:22,144.10,,,"10/10/25, 10:10 pm",Visa 4618,€0.00,€144.90,€144.90
Received,236534,10/10/2025,19:17:17,143.90,,,"10/10/25, 6:32 pm",Visa 6957,€5.90,€150.00,€144.10
Received,236532,10/10/2025,18:28:57,139.90,,,"10/10/25, 7:13 pm",Mastercard 0239,€0.00,€143.90,€143.90
Received,236517,10/10/2025,18:48:36,138.90,,,"10/10/25, 6:28 pm",Mastercard 2793,€20.99,€160.89,€139.90
Received,236528,10/10/2025,19:35:20,134.40,,,"10/10/25, 6:44 pm",Mastercard 6549,€0.00,€138.90,€138.90
Received,236573,10/10/2025,20:17:54,132.40,,,"10/10/25, 7:32 pm",Visa 6695,€26.88,€161.28,€134.40
Received,236539,10/10/2025,19:10:09,131.90,,,"10/10/25, 8:15 pm",Visa 6872,€15.89,€148.29,€132.40
Received,236577,10/10/2025,21:19:25,130.40,,,"10/10/25, 7:05 pm",Mastercard 1658,€15.83,€147.73,€131.90
Received,236684,10/10/2025,23:24:26,123.90,,,"10/10/25, 9:17 pm",Mastercard 7640,€0.00,€130.40,€130.40
Received,236617,10/10/2025,21:40:47,123.00,,,"10/10/25, 11:15 pm",Visa 7640,€24.78,€148.68,€123.90
Received,236595,10/10/2025,21:41:55,120.00,,,"10/10/25, 9:30 pm",Mastercard 2389,€0.00,€123.00,€123.00
Received,236595,10/10/2025,21:41:51,120.00,,,"10/10/25, 9:39 pm",Visa 2905,€0.00,€120.00,€120.00
Received,236595,10/10/2025,21:41:44,120.00,,,"10/10/25, 9:40 pm",Visa 7586,€0.00,€120.00,€120.00
Received,236681,10/10/2025,22:53:15,117.30,,,"10/10/25, 9:40 pm",Visa 1781,€0.00,€120.00,€120.00
Received,236524,10/10/2025,18:41:53,115.00,,,"10/10/25, 10:48 pm",Visa 4752,€0.00,€117.30,€117.30
Received,236583,10/10/2025,21:02:06,115.00,,,"10/10/25, 6:40 pm",Visa 5300,€0.00,€115.00,€115.00
Received,236545,10/10/2025,19:10:19,109.90,,,"10/10/25, 9:00 pm",Visa 4212,€0.00,€115.00,€115.00
Received,236653,10/10/2025,22:37:14,93.00,,,"10/10/25, 7:06 pm",Visa 2422,€10.10,€120.00,€109.90
Received,236525,10/10/2025,18:43:16,85.90,,,"10/10/25, 10:32 pm",Amex 4002,€18.60,€111.60,€93.00
Received,236593,10/10/2025,22:10:45,85.00,,,"10/10/25, 6:41 pm",Visa 0008,€17.18,€103.08,€85.90
Received,236593,10/10/2025,22:10:18,85.00,,,"10/10/25, 9:50 pm",Mastercard 7773,€0.00,€85.00,€85.00
Received,236593,10/10/2025,22:10:58,85.00,,,"10/10/25, 9:51 pm",Visa 4469,€0.00,€85.00,€85.00
Received,236593,10/10/2025,22:11:00,85.00,,,"10/10/25, 9:52 pm",Amex 2019,€0.00,€85.00,€85.00
Received,236558,10/10/2025,20:30:28,74.90,,,"10/10/25, 8:28 pm",Visa 2500,€6.00,€80.90,€74.90
Received,236679,10/10/2025,23:07:21,63.30,,,"10/10/25, 11:06 pm",Visa 2180,€36.70,€100.00,€63.30
Received,236590,10/10/2025,21:20:03,62.64,,,"10/10/25, 9:15 pm",Visa 7005,€7.52,€70.15,€62.63
Received,236590,10/10/2025,21:19:59,62.63,,,"10/10/25, 9:16 pm",Mastercard 4406,€9.39,€72.02,€62.63
Received,236590,10/10/2025,21:19:53,62.63,,,"10/10/25, 9:16 pm",Visa 2839,€9.39,€72.02,€62.63
Received,236531,10/10/2025,18:49:04,58.75,,,"10/10/25, 6:42 pm",Visa 6064,€0.00,€58.75,€58.75
Received,236531,10/10/2025,18:49:01,58.75,,,"10/10/25, 6:42 pm",Visa 6609,€0.00,€58.75,€58.75
Received,236593,10/10/2025,22:10:24,48.30,,,"10/10/25, 8:00 pm",Visa 8591,€0.00,€46.50,€46.50
Received,236614,10/10/2025,20:00:56,46.50,,,"10/10/25, 10:37 pm",Mastercard 7117,€0.00,€42.50,€42.50
Received,236692,10/10/2025,22:39:51,42.50,,,"10/10/25, 11:22 pm",Visa 2099,€0.00,€41.00,€41.00
Received,236695,10/10/2025,23:22:53,41.00,,,"10/10/25, 6:56 pm",Visa 4781,€4.00,€43.00,€39.00
Received,236570,10/10/2025,18:56:34,39.00,,,"10/10/25, 11:09 pm",Mastercard 2570,€0.00,€33.70,€33.70
Received,236694,10/10/2025,23:10:45,33.70,,,"10/10/25, 9:43 pm",Mastercard 4077,€0.00,€30.00,€30.00
Received,236666,10/10/2025,21:43:21,30.00,,,"10/10/25, 10:03 pm",Visa 8594,€0.00,€29.00,€29.00
Received,236688,10/10/2025,22:03:40,29.00,,,"10/10/25, 8:28 pm",Visa 2569,€0.00,€27.70,€27.70
Received,236633,10/10/2025,20:28:34,27.70,,,"10/10/25, 7:49 pm",Mastercard 3849,€0.00,€27.50,€27.50
Received,236610,10/10/2025,19:49:39,27.50,,,"10/10/25, 9:40 pm",Visa 8251,€3.30,€30.80,€27.50
Received,236661,10/10/2025,21:40:32,27.50,,,"10/10/25, 9:45 pm",Visa 0223,€0.00,€27.36,€27.36
Received,236685,10/10/2025,21:45:57,27.36,,,"10/10/25, 8:29 pm",Visa 4652,€10.00,€31.90,€21.90
Received,236561,10/10/2025,20:54:55,21.90,,,"10/10/25, 10:02 pm",Maestro 0858,€0.00,€16.50,€16.50
Received,236655,10/10/2025,22:02:45,16.50,,,"10/10/25, 8:15 pm",Mastercard 7563,€0.00,€15.00,€15.00
Received,236623,10/10/2025,20:15:21,15.00,,,"10/10/25, 5:24 pm",Mastercard 6001,€0.00,€8.00,€8.00
Received,236530,10/10/2025,17:24:49,8.00,,,"10/10/25, 9:46 pm",Visa 2853,€0.00,€8.00,€8.00
Received,236687,10/10/2025,21:47:35,8.00,,,"10/10/25, 10:58 pm",Visa 3329,€0.00,€7.85,€7.85
Received,236693,10/10/2025,23:07:02,7.85,,,,,,,"€27,610.39"
Received,236593,10/10/2025,22:10:34,-48.30,,,,,,,-€50.00
Received,236593,10/10/2025,22:10:35,-85.00,,,,,,,
,,,,"27,660.39",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
