Card Payment,Trans,Date,Time,Value,Tips,,,Date,Payment,tip included,Total,Net,
Received,237081,12/10/2025,17:54:56,278.00,,,,"10/12/25, 5:43 pm",Visa 2221,€41.70,€319.70,€278.00,
Received,237137,12/10/2025,21:03:43,269.40,,,,"10/12/25, 9:01 pm",Mastercard 7556,€10.00,€279.40,€269.40,
Received,237124,12/10/2025,20:18:40,266.90,,,,"10/12/25, 8:07 pm",Mastercard 0577,€40.04,€306.94,€266.90,
Received,237048,12/10/2025,15:23:52,266.50,,,,"10/12/25, 3:20 pm",Visa 9602,€31.98,€298.48,€266.50,
Received,237131,12/10/2025,21:00:44,264.90,,,,"10/12/25, 8:58 pm",Visa 0541,€31.79,€296.69,€264.90,
Received,237181,12/10/2025,22:29:34,263.10,,,,"10/12/25, 10:27 pm",Mastercard 3552,€31.57,€294.67,€263.10,
Received,237122,12/10/2025,22:13:39,257.90,,,,"10/12/25, 10:12 pm",Visa 0392,€30.95,€288.85,€257.90,
Received,237195,12/10/2025,23:03:59,255.70,,,,"10/12/25, 11:02 pm",Mastercard 1899,€0.00,€255.70,€255.70,
Received,237109,12/10/2025,20:47:39,253.40,,,,"10/12/25, 8:39 pm",Visa 6223,€30.41,€283.81,€253.40,
Received,237158,12/10/2025,21:29:26,246.40,,,,"10/12/25, 9:28 pm",Visa 6520,€53.60,€300.00,€246.40,
Received,237055,12/10/2025,15:57:52,246.07,,,,"10/12/25, 3:45 pm",Visa 5029,€0.00,€246.07,€246.07,
Received,237185,12/10/2025,23:07:11,225.20,,,,"10/12/25, 11:05 pm",Mastercard 3457,€0.00,€225.20,€225.20,
Received,237165,12/10/2025,21:54:23,221.40,,,,"10/12/25, 9:42 pm",Visa 5992,€0.00,€221.40,€221.40,
Received,237189,12/10/2025,23:05:36,216.30,,,,"10/12/25, 11:03 pm",Visa 5505,€43.26,€259.56,€216.30,
Received,237160,12/10/2025,21:14:37,214.40,,,,"10/12/25, 9:12 pm",Visa 6019,€32.16,€246.56,€214.40,
Received,237180,12/10/2025,22:11:49,213.40,,,,"10/12/25, 10:06 pm",Amex 1007,€42.68,€256.08,€213.40,
Received,237170,12/10/2025,22:12:05,206.00,,,,"10/12/25, 10:02 pm",Visa 4067,€41.20,€247.20,€206.00,
Received,237116,12/10/2025,20:18:23,199.90,,,,"10/12/25, 8:17 pm",Visa 2118,€0.00,€199.90,€199.90,
Received,237132,12/10/2025,20:47:25,199.90,,,,"10/12/25, 8:45 pm",Visa 0934,€29.99,€229.89,€199.90,
Received,237176,12/10/2025,21:54:10,199.80,,,,"10/12/25, 9:43 pm",Visa 4964,€5.00,€204.80,€199.80,
Received,237190,12/10/2025,22:29:10,198.40,,,,"10/12/25, 10:28 pm",Visa 7779,€23.81,€222.21,€198.40,
Received,237178,12/10/2025,22:12:18,197.90,,,,"10/12/25, 9:57 pm",Mastercard 1400,€23.75,€221.65,€197.90,
Received,237118,12/10/2025,19:41:44,197.40,,,,"10/12/25, 7:41 pm",Visa 7347,€22.60,€220.00,€197.40,
Received,237173,12/10/2025,22:16:40,195.50,,,,"10/12/25, 10:13 pm",Amex 1009,€29.33,€224.83,€195.50,
Received,237127,12/10/2025,19:47:31,194.80,,,,"10/12/25, 7:46 pm",Amex 2017,€38.96,€233.76,€194.80,
Received,237183,12/10/2025,22:13:28,193.90,,,,"10/12/25, 10:02 pm",Mastercard 7192,€23.27,€217.17,€193.90,
Received,237188,12/10/2025,22:53:20,190.00,,,,"10/12/25, 10:47 pm",Mastercard 0283,€0.00,€190.00,€190.00,
Received,237172,12/10/2025,22:56:38,189.41,,,,"10/12/25, 10:55 pm",Mastercard 6715,€0.00,€189.41,€189.41,
Received,237197,12/10/2025,23:09:24,189.00,,,,"10/12/25, 11:09 pm",Visa 2255,€22.68,€211.68,€189.00,
Received,237101,12/10/2025,19:23:20,188.90,,,,"10/12/25, 7:17 pm",Visa 9226,€21.10,€210.00,€188.90,
Received,237133,12/10/2025,20:31:14,185.90,,,,"10/12/25, 8:48 pm",Visa 3191,€37.18,€223.08,€185.90,
Received,237143,12/10/2025,20:49:26,185.90,,,,"10/12/25, 8:24 pm",Amex 1002,€27.89,€213.79,€185.90,
Received,237087,12/10/2025,18:46:45,183.90,,,,"10/12/25, 6:45 pm",Mastercard 5778,€22.07,€205.97,€183.90,
Received,237108,12/10/2025,19:04:08,179.80,,,,"10/12/25, 7:01 pm",Visa 9675,€35.96,€215.76,€179.80,
Received,237106,12/10/2025,19:51:04,178.90,,,,"10/12/25, 7:48 pm",Visa 7871,€0.00,€178.90,€178.90,
Received,237112,12/10/2025,19:27:07,176.80,,,,"10/12/25, 7:26 pm",Visa 9500,€18.20,€195.00,€176.80,
Received,237177,12/10/2025,22:18:42,176.80,,,,"10/12/25, 10:17 pm",Visa 7514,€26.52,€203.32,€176.80,
Received,237091,12/10/2025,18:12:50,175.30,,,,"10/12/25, 5:57 pm",Mastercard 1178,€9.70,€185.00,€175.30,
Received,237083,12/10/2025,17:26:10,168.90,,,,"10/12/25, 5:23 pm",Visa 9001,€25.34,€194.24,€168.90,
Received,237148,12/10/2025,21:02:43,165.90,,,,"10/12/25, 8:55 pm",Visa 8708,€24.10,€190.00,€165.90,
Received,237186,12/10/2025,22:41:44,161.00,,,,"10/12/25, 10:38 pm",Mastercard 3592,€0.00,€161.00,€161.00,
Received,237070,12/10/2025,17:00:46,160.90,,,,"10/12/25, 4:55 pm",Visa 4800,€24.10,€185.00,€160.90,
Received,237054,12/10/2025,15:13:52,159.40,,,,"10/12/25, 3:08 pm",Visa 5398,€19.13,€178.53,€159.40,
Received,237128,12/10/2025,21:07:40,158.40,,,,"10/12/25, 9:07 pm",Visa 0028,€0.00,€158.40,€158.40,
Received,237058,12/10/2025,15:13:41,156.90,,,,"10/12/25, 3:11 pm",Visa 3132,€23.54,€180.44,€156.90,
Received,237157,12/10/2025,21:00:27,155.80,,,,"10/12/25, 8:53 pm",Amex 3006,€18.70,€174.50,€155.80,
Received,237102,12/10/2025,20:01:38,155.50,,,,"10/12/25, 7:06 pm",Visa 3874,€23.33,€178.83,€155.50,
Received,237084,12/10/2025,17:41:19,154.90,,,,"10/12/25, 5:40 pm",Visa 0671,€5.55,€160.45,€154.90,
Received,237147,12/10/2025,21:01:32,152.90,,,,"10/12/25, 8:59 pm",Amex 3008,€0.00,€152.90,€152.90,
Received,237077,12/10/2025,17:40:06,152.40,,,,"10/12/25, 5:31 pm",Visa 2712,€13.00,€165.40,€152.40,
Received,237074,12/10/2025,15:15:14,150.00,,,,"10/12/25, 3:15 pm",Visa 7120,€0.00,€150.00,€150.00,
Received,237199,12/10/2025,22:47:57,148.70,,,,"10/12/25, 10:43 pm",Mastercard 9216,€10.00,€158.70,€148.70,
Received,237110,12/10/2025,19:44:40,146.90,,,,"10/12/25, 7:40 pm",Mastercard 9745,€22.04,€168.94,€146.90,
Received,237080,12/10/2025,18:10:38,145.90,,,,"10/12/25, 6:06 pm",Visa 8808,€0.00,€145.90,€145.90,
Received,237166,12/10/2025,21:42:36,140.40,,,,"10/12/25, 9:40 pm",Visa 6412,€15.00,€155.40,€140.40,
Received,237162,12/10/2025,21:29:41,137.90,,,,"10/12/25, 9:23 pm",Amex 2042,€0.00,€137.90,€137.90,
Received,237117,12/10/2025,19:45:00,137.40,,,,"10/12/25, 7:40 pm",Visa 5251,€12.70,€150.00,€137.30,
Received,237098,12/10/2025,18:52:08,137.00,,,,"10/12/25, 6:48 pm",Visa 4443,€16.44,€153.44,€137.00,
Received,237104,12/10/2025,19:03:53,136.90,,,,"10/12/25, 7:02 pm",Visa 4584,€0.00,€136.90,€136.90,
Received,237047,12/10/2025,14:54:43,135.50,,,,"10/12/25, 2:53 pm",Mastercard 6048,€16.26,€151.76,€135.50,
Received,237095,12/10/2025,18:46:35,134.50,,,,"10/12/25, 6:45 pm",Visa 4744,€0.00,€134.50,€134.50,
Received,237100,12/10/2025,17:23:02,132.70,,,,"10/12/25, 5:22 pm",Visa 7368,€15.92,€148.62,€132.70,
Received,237120,12/10/2025,19:51:17,129.90,,,,"10/12/25, 7:46 pm",Visa 0799,€0.00,€129.90,€129.90,
Received,237046,12/10/2025,14:17:26,128.30,,,,"10/12/25, 2:14 pm",Mastercard 3202,€15.40,€143.70,€128.30,
Received,237057,12/10/2025,14:52:18,125.25,,,,"10/12/25, 2:50 pm",Mastercard 9140,€0.00,€125.25,€125.25,
Received,237057,12/10/2025,14:52:16,125.25,,,,"10/12/25, 2:51 pm",Mastercard 9316,€0.00,€125.25,€125.25,
Received,237063,12/10/2025,15:58:03,121.00,,,,"10/12/25, 3:47 pm",Mastercard 0290,€14.52,€135.52,€121.00,
Received,237126,12/10/2025,21:41:59,120.00,,,,"10/12/25, 9:40 pm",Amex 1004,€0.00,€120.00,€120.00,
Received,237107,12/10/2025,19:40:15,109.90,,,,"10/12/25, 7:34 pm",Visa 2625,€21.98,€131.88,€109.90,
Received,237168,12/10/2025,21:55:18,101.45,,,,"10/12/25, 9:53 pm",Mastercard 8344,€0.00,€101.45,€101.45,
Received,237168,12/10/2025,21:55:16,101.45,,,,"10/12/25, 9:53 pm",Mastercard 7578,€12.17,€113.62,€101.45,
Received,237138,12/10/2025,21:02:57,101.40,,,,"10/12/25, 8:50 pm",Visa 1096,€12.17,€113.57,€101.40,
Received,237066,12/10/2025,14:48:31,100.00,,,,"10/12/25, 2:49 pm",Visa 6456,€0.00,€100.00,€100.00,
Received,237072,12/10/2025,15:13:46,100.00,,,,"10/12/25, 3:13 pm",Visa 4802,€0.00,€100.00,€100.00,
Received,237086,12/10/2025,21:02:20,98.16,,,,"10/12/25, 8:56 pm",Visa 5782,€19.63,€117.79,€98.16,
Received,237086,12/10/2025,21:02:16,98.16,,,,"10/12/25, 8:57 pm",Visa 9565,€19.63,€117.79,€98.16,
Received,237086,12/10/2025,21:02:09,98.16,,,,"10/12/25, 8:55 pm",Visa 5273,€11.78,€109.94,€98.16,
Received,237086,12/10/2025,21:02:02,98.16,,,,"10/12/25, 8:56 pm",Mastercard 3244,€11.78,€109.94,€98.16,
Received,237086,12/10/2025,21:01:52,98.16,,,,"10/12/25, 8:57 pm",Visa 4270,€14.72,€112.88,€98.16,
Received,237152,12/10/2025,22:16:10,96.00,,,,"10/12/25, 10:08 pm",Mastercard 8336,€0.00,€96.00,€96.00,
Received,237152,12/10/2025,22:16:16,96.00,,,,"10/12/25, 10:08 pm",Mastercard 7984,€0.00,€96.00,€96.00,
Received,237121,12/10/2025,18:51:52,89.50,,,,"10/12/25, 6:47 pm",Visa 9477,€10.74,€100.24,€89.50,
Received,237179,12/10/2025,21:51:31,88.40,,,,"10/12/25, 9:48 pm",Visa 0474,€30.00,€118.40,€88.40,
Received,237090,12/10/2025,18:13:08,83.40,,,,"10/12/25, 5:54 pm",Visa 9505,€10.01,€93.41,€83.40,
Received,237149,12/10/2025,19:40:26,82.00,,,,"10/12/25, 7:33 pm",Visa 2625,€9.84,€91.84,€82.00,
Received,237111,12/10/2025,20:01:56,80.70,,,,"10/12/25, 7:50 pm",Visa 9701,€12.11,€92.81,€80.70,
Received,237111,12/10/2025,20:01:53,80.70,,,,"10/12/25, 7:51 pm",Visa 9760,€0.00,€80.70,€80.70,
Received,237163,12/10/2025,20:28:27,76.50,,,,"10/12/25, 8:27 pm",Visa 3346,€23.50,€100.00,€76.50,
Received,237142,12/10/2025,21:08:18,72.90,,,,"10/12/25, 9:07 pm",Visa 0870,€14.58,€87.48,€72.90,
Received,237152,12/10/2025,22:16:22,69.40,27.00,,,"10/12/25, 10:10 pm",Mastercard 6213,€26.60,€96.00,€69.40,
Received,237130,12/10/2025,20:01:23,68.50,,,,"10/12/25, 7:52 pm",Visa 6023,€0.10,€68.60,€68.50,
Received,237089,12/10/2025,18:28:17,60.00,,,,"10/12/25, 6:24 pm",Visa 3407,€0.00,€60.00,€60.00,
Received,237089,12/10/2025,18:28:12,60.00,,,,"10/12/25, 6:25 pm",Visa 5699,€0.00,€60.00,€60.00,
Received,237089,12/10/2025,18:28:06,60.00,,,,"10/12/25, 6:26 pm",Mastercard 9070,€0.00,€60.00,€60.00,
Received,237089,12/10/2025,18:28:02,60.00,,,,"10/12/25, 6:27 pm",Mastercard 7736,€0.00,€60.00,€60.00,
Received,237076,12/10/2025,16:59:04,53.50,,,,"10/12/25, 4:57 pm",Visa 1403,€0.00,€53.50,€53.50,
Received,237194,12/10/2025,21:54:35,49.50,,,,"10/12/25, 9:42 pm",Mastercard 7047,€0.00,€49.50,€49.50,
Received,237129,12/10/2025,18:53:17,15.00,,,,"10/12/25, 6:53 pm",Visa 2251,€0.00,€15.00,€15.00,
Received,237200,12/10/2025,21:39:36,12.49,,,,"10/12/25, 9:40 pm",Visa 3832,€0.00,€12.49,€12.49,
Received,237144,12/10/2025,21:21:23,9.60,,,,"10/12/25, 9:20 pm",Visa 3352,€10.00,€19.60,€9.60,
Received,237171,12/10/2025,21:12:15,4.00,,,,"10/12/25, 9:11 pm",Visa 2251,€0.00,€4.00,€4.00,
Received,237201,12/10/2025,22:15:10,1.20,,,,"10/12/25, 2:08 pm",Visa 7091,€0.00,€1.90,€1.90,
,,,,,,,,"10/12/25, 9:55 pm",Visa 9844,€0.00,€1.20,€1.20,
,,,,"25,660.92",,,,,,,,"€25,708.64",
,,,,,,,,,,,,€47.72,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
