Date,Payment,tip included,Total,Net,,,Card Payment,Trans,Date,Time,Value,
"10/6/25, 9:12 pm",Mastercard 9622,€38.00,€291.30,€253.30,,,Received,236170,6/10/2025,23:08:57,259.80,
"10/6/25, 8:43 pm",Visa 0781,€0.00,€243.50,€243.50,,,Received,236142,6/10/2025,21:13:22,253.30,
"10/6/25, 9:54 pm",Mastercard 1155,€28.43,€265.33,€236.90,,,Received,236137,6/10/2025,21:10:50,243.50,
"10/6/25, 10:03 pm",Mastercard 8775,€27.56,€257.26,€229.70,,,Received,236162,6/10/2025,22:56:36,236.90,
"10/6/25, 9:07 pm",Mastercard 9978,€0.00,€225.46,€225.46,,,Received,236153,6/10/2025,22:06:25,229.70,
"10/6/25, 9:09 pm",Mastercard 0775,€0.00,€225.46,€225.46,,,Received,236112,6/10/2025,21:16:59,225.46,
"10/6/25, 9:10 pm",Mastercard 6549,€0.00,€225.46,€225.46,,,Received,236112,6/10/2025,21:16:48,225.46,
"10/6/25, 9:13 pm",Visa 9398,€0.00,€225.46,€225.46,,,Received,236112,6/10/2025,21:16:39,225.46,
"10/6/25, 9:38 pm",Visa 5161,€44.02,€264.12,€220.10,,,Received,236112,6/10/2025,21:17:08,225.42,
"10/6/25, 9:38 pm",Mastercard 2152,€26.41,€246.51,€220.10,,,Received,236121,6/10/2025,21:44:37,220.10,
"10/6/25, 10:56 pm",Mastercard 9481,€55.00,€274.65,€219.65,,,Received,236121,6/10/2025,21:44:36,220.10,
"10/6/25, 10:57 pm",Mastercard 4323,€43.93,€263.58,€219.65,,,Received,236155,6/10/2025,23:00:00,219.65,
"10/6/25, 8:46 pm",Visa 5416,€31.34,€240.24,€208.90,,,Received,236155,6/10/2025,23:00:01,219.65,
"10/6/25, 9:47 pm",Mastercard 5857,€24.82,€231.67,€206.85,,,Received,236119,6/10/2025,20:52:15,208.90,
"10/6/25, 9:48 pm",Mastercard 2479,€24.82,€231.67,€206.85,,,Received,236110,6/10/2025,22:04:04,206.85,
"10/6/25, 9:17 pm",Visa 1377,€30.66,€235.06,€204.40,,,Received,236110,6/10/2025,22:04:06,206.85,
"10/6/25, 9:22 pm",Visa 4120,€7.20,€210.00,€202.80,,,Received,236143,6/10/2025,21:19:53,204.40,
"10/6/25, 7:03 pm",Amex 3004,€30.03,€230.23,€200.20,,,Received,236152,6/10/2025,21:25:02,202.80,
"10/6/25, 9:36 pm",Visa 3808,€29.61,€227.01,€197.40,,,Received,236096,6/10/2025,19:03:55,200.20,
"10/6/25, 9:06 pm",Visa 2024,€22.67,€211.57,€188.90,,,Received,236145,6/10/2025,21:37:50,197.40,
"10/6/25, 7:09 pm",Mastercard 9352,€27.81,€213.21,€185.40,,,Received,236146,6/10/2025,21:08:39,188.90,
"10/6/25, 7:33 pm",Visa 2985,€27.57,€211.37,€183.80,,,Received,236087,6/10/2025,19:14:51,185.40,
"10/6/25, 7:21 pm",Mastercard 7011,€0.00,€181.50,€181.50,,,Received,236094,6/10/2025,19:36:44,183.80,
"10/6/25, 6:19 pm",Mastercard 0713,€21.17,€197.57,€176.40,,,Received,236095,6/10/2025,19:22:48,181.50,
"10/6/25, 8:01 pm",Mastercard 4174,€26.00,€199.30,€173.30,,,Received,236078,6/10/2025,18:28:40,176.40,
"10/6/25, 9:04 pm",Amex 1016,€45.00,€217.90,€172.90,,,Received,236114,6/10/2025,20:09:09,173.30,
"10/6/25, 7:28 pm",Visa 0813,€20.63,€192.53,€171.90,,,Received,236127,6/10/2025,21:09:44,172.90,
"10/6/25, 9:23 pm",Mastercard 1820,€20.62,€192.42,€171.80,,,Received,236108,6/10/2025,19:37:08,171.90,
"10/6/25, 8:58 pm",Visa 2067,€40.00,€208.90,€168.90,,,Received,236149,6/10/2025,21:24:51,171.80,
"10/6/25, 10:30 pm",Visa 7169,€31.30,€187.80,€156.50,,,Received,236111,6/10/2025,21:00:52,168.90,
"10/6/25, 6:58 pm",Visa 9754,€18.72,€174.72,€156.00,,,Received,236187,6/10/2025,22:30:36,156.50,
"10/6/25, 9:05 pm",Mastercard 0875,€10.00,€166.00,€156.00,,,Received,236084,6/10/2025,18:59:18,156.00,
"10/6/25, 9:34 pm",Mastercard 2760,€30.98,€185.88,€154.90,,,Received,236125,6/10/2025,21:09:07,156.00,
"10/6/25, 8:15 pm",Mastercard 7198,€18.47,€172.37,€153.90,,,Received,236160,6/10/2025,21:37:32,154.90,
"10/6/25, 9:15 pm",Amex 9881,€18.44,€172.14,€153.70,,,Received,236107,6/10/2025,20:30:27,153.90,
"10/6/25, 6:57 pm",Mastercard 6429,€0.00,€151.50,€151.50,,,Received,236141,6/10/2025,21:25:12,153.70,
"10/6/25, 11:12 pm",Visa 8047,€0.00,€150.00,€150.00,,,Received,236080,6/10/2025,18:59:00,151.50,
"10/6/25, 11:12 pm",Visa 5449,€0.00,€150.00,€150.00,,,Received,236171,6/10/2025,23:13:57,150.00,
"10/6/25, 7:50 pm",Mastercard 4456,€15.00,€157.17,€142.17,,,Received,236171,6/10/2025,23:14:02,150.00,
"10/6/25, 7:51 pm",Visa 0663,€17.06,€159.23,€142.17,,,Received,236090,6/10/2025,20:09:41,142.18,
"10/6/25, 7:04 pm",Amex 1006,€0.00,€135.50,€135.50,,,Received,236090,6/10/2025,20:09:37,142.17,
"10/6/25, 6:16 pm",Amex 1008,€26.48,€158.88,€132.40,,,Received,236089,6/10/2025,19:05:43,135.50,
"10/6/25, 8:11 pm",Visa 6211,€0.00,€129.90,€129.90,,,Received,236077,6/10/2025,18:17:38,132.40,
"10/6/25, 7:27 pm",Visa 4096,€15.34,€143.14,€127.80,,,Received,236109,6/10/2025,20:30:39,129.90,
"10/6/25, 6:57 pm",Visa 9963,€0.00,€125.40,€125.40,,,Received,236105,6/10/2025,19:36:57,127.80,
"10/6/25, 9:08 pm",Mastercard 0408,€14.87,€138.77,€123.90,,,Received,236082,6/10/2025,19:00:34,125.40,
"10/6/25, 6:42 pm",Mastercard 7252,€0.00,€113.60,€113.60,,,Received,236123,6/10/2025,21:10:04,123.90,
"10/6/25, 10:25 pm",Mastercard 5496,€0.00,€113.60,€113.60,,,Received,236081,6/10/2025,18:43:06,113.60,
"10/6/25, 9:11 pm",Amex 5001,€0.00,€112.73,€112.73,,,Received,236169,6/10/2025,22:51:11,113.60,
"10/6/25, 9:29 pm",Mastercard 9987,€0.00,€100.00,€100.00,,,Received,236112,6/10/2025,21:16:30,112.73,
"10/6/25, 9:30 pm",Amex 2006,€0.00,€100.00,€100.00,,,Received,236122,6/10/2025,21:34:34,100.00,
"10/6/25, 9:30 pm",Mastercard 0948,€0.00,€100.00,€100.00,,,Received,236122,6/10/2025,21:34:31,100.00,
"10/6/25, 7:13 pm",Mastercard 1729,€0.00,€94.40,€94.40,,,Received,236122,6/10/2025,21:34:25,100.00,
"10/6/25, 8:44 pm",Mastercard 0711,€18.50,€111.00,€92.50,,,Received,236099,6/10/2025,19:13:41,94.40,
"10/6/25, 8:43 pm",Amex 1004,€13.26,€101.66,€88.40,,,Received,236168,6/10/2025,20:46:06,92.50,
"10/6/25, 8:57 pm",Visa 1590,€0.00,€72.00,€72.00,,,Received,236113,6/10/2025,20:45:55,88.40,
"10/6/25, 6:18 pm",Visa 2483,€8.34,€77.84,€69.50,,,Received,236111,6/10/2025,21:00:48,72.00,
"10/6/25, 11:00 pm",Visa 8277,€0.00,€69.34,€69.34,,,Received,236102,6/10/2025,18:28:28,69.50,
"10/6/25, 9:31 pm",Visa 6275,€43.70,€100.00,€56.30,,,Received,236163,6/10/2025,23:09:20,69.34,
"10/6/25, 8:20 pm",Visa 4404,€0.00,€44.50,€44.50,,,Received,236122,6/10/2025,21:34:36,56.30,
"10/6/25, 4:56 pm",Amex 1008,€0.00,€33.00,€33.00,,,Received,236166,6/10/2025,20:20:34,44.50,
"10/6/25, 7:48 pm",Visa 9233,€0.00,€22.50,€22.50,,,Received,236075,6/10/2025,16:56:22,33.00,
"10/6/25, 10:26 pm",Mastercard 5496,€0.00,€20.50,€20.50,,,Received,236148,6/10/2025,19:49:32,22.50,
"10/6/25, 8:52 pm",Visa 6817,€2.15,€20.05,€17.90,,,Received,236173,6/10/2025,22:51:14,20.50,
"10/6/25, 9:13 pm",Amex 2002,€0.00,€15.00,€15.00,,,Received,236140,6/10/2025,20:54:52,17.90,
"10/6/25, 9:46 pm",Visa 2599,€0.00,€1.80,€1.80,,,Received,236179,6/10/2025,21:13:47,15.00,
"10/6/25, 9:52 pm",Visa 9844,€0.00,€1.20,€1.20,,,Received,236182,6/10/2025,23:14:43,1.80,
"10/6/25, 2:19 pm",Mastercard 3494,€0.00,€1.09,€1.09,,,Received,236183,6/10/2025,22:03:13,1.20,
"10/6/25, 10:15 pm",Visa 4614,€0.00,€0.68,€0.68,,,Received,236072,6/10/2025,14:19:22,1.09,
,,,,,,,Received,236184,6/10/2025,22:11:22,0.68,
,,,,,,,Received,236171,6/10/2025,22:58:16,-694.01,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
